id,file_v1,author_ja,author_reading,author_sex,author_birth,author_death,title_aozora,aozora_person_id,aozora_work_id,aozora_card_url,year_first,year_first_end,year_source,period,period5,ndc,ndc_label,genre_main,genre_sub,form,audience,register_level,narration,first_medium,kana_orthography,completeness,note,tokens,types,ttr_x1000,kanji_ratio,katakana_ratio,bungo_per10k,kogo_per10k,p1_per10k,p3_per10k,gaiji_lost,kana_odoriji,kanji_odoriji,ditto_mark,latin_chars,arabic_digits,style_class,set,source_meta,measure_source,bungo_ratio,ndc_all,shoshutsu,needs_review
JLIT031,岡本かの子_仏教人生読本.txt,岡本かの子,おかもと かのこ,F,1889,1939,仏教人生読本,000076,52342,https://www.aozora.gr.jp/cards/000076/card52342.html,1934,1934,editor,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),180,仏教（総記）,Nonfiction,Religious-Didactic,treatise,general,middlebrow,none,book,新字新仮名,complete,【修正】NDC 180（仏教）。v1 の「自己啓発？/Essay?」を改める,71889,7792,108.39,0.3518,0.007,47.3,403.8,70.1,5.6,0,0,156,0,22,0,B_過渡的文体,core,aozora_card,rebuilt:tokens_surface,0.105,,,
JLIT032,岡本かの子_母子叙情.txt,岡本かの子,おかもと かのこ,F,1889,1939,母子叙情,000076,1282,https://www.aozora.gr.jp/cards/000076/card1282.html,1937,1937,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Modern,novella,general,canonical,third,magazine,新字新仮名,complete,「文学界」1937年3月号,45252,6286,138.91,0.3265,0.0301,19.2,219.4,65.2,18.6,0,0,87,0,68,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.08,,「文学界」1937（昭和12）年3月号,
JLIT033,岡本かの子_生々流転.txt,岡本かの子,おかもと かのこ,F,1889,1939,生々流転,000076,45641,https://www.aozora.gr.jp/cards/000076/card45641.html,1939,1940,editor,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,first,magazine,新字新仮名,incomplete,作者急逝により未完。仮名踊り字191件・外字欠落20件,174685,15404,88.18,0.3159,0.0107,29.8,304.3,159.0,10.2,0,0,223,0,89,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.089,,,
JLIT034,徳冨蘆花_不如帰.txt,徳冨蘆花,とくとみ ろか,M,1868,1927,小説 不如帰,000280,1706,https://www.aozora.gr.jp/cards/000280/card1706.html,1898,1899,editor,2_明治中期(1887-1899),1_明治前期〜中期(〜1899),913,日本文学／小説・物語,Fiction,Melodrama,novel,general,popular,third,newspaper,新字新仮名,complete,「國民新聞」1898年11月〜1899年5月。文語的措辞が濃厚（文語標識156.5/万語）。外字欠落47件,72328,8953,123.78,0.3134,0.0099,172.5,133.7,26.3,11.9,0,0,283,0,0,0,B_過渡的文体,core,aozora_card,rebuilt:tokens_surface,0.563,,,
JLIT035,林芙美子_放浪記初出.txt,林芙美子,はやし ふみこ,F,1903,1951,放浪記（初出）,000291,45649,https://www.aozora.gr.jp/cards/000291/card45649.html,1928,1930,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Nonfiction,Autobiographical-Diary,diary-novel,general,middlebrow,first,magazine,新字新仮名,complete,「女人藝術」1928年10月〜1930年10月。初出形。校訂注の混入1件（「裏」はママ］）,57880,7100,122.67,0.3067,0.0554,17.4,202.3,164.5,6.2,0,0,113,0,5,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.079,,「女人藝術」1928（昭和3）年10月号～1930（昭和5）年10月号,
JLIT036,林芙美子_新版放浪記.txt,林芙美子,はやし ふみこ,F,1903,1951,新版 放浪記,000291,1813,https://www.aozora.gr.jp/cards/000291/card1813.html,1928,1930,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Nonfiction,Autobiographical-Diary,diary-novel,general,middlebrow,first,book,新字新仮名,revised,初出は上に同じ。本テクストは1949年の改稿版（新版）。版差研究用のペア,141330,11970,84.7,0.2952,0.0386,32.3,230.0,155.4,3.5,0,0,277,0,5,11,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.123,,「女人藝術」1928（昭和3）年10月号～1930（昭和5）年10月号,
JLIT037,海野十三_地球要塞.txt,海野十三,うんの じゅうざ,M,1897,1949,地球要塞,000160,3239,https://www.aozora.gr.jp/cards/000160/card3239.html,1940,1941,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,SF,novel,general,popular,first,magazine,新字新仮名,complete,「譚海」1940年8月〜1941年2月号,39056,4660,119.32,0.2985,0.0359,24.3,206.4,171.3,13.6,0,0,20,0,157,5,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.105,,「譚海」1940（昭和15）年8月～1941（昭和16）年2月号,
JLIT038,海野十三_怪塔王.txt,海野十三,うんの じゅうざ,M,1897,1949,怪塔王,000160,3370,https://www.aozora.gr.jp/cards/000160/card3370.html,1938,1938,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),K913,児童書／日本の小説・物語,Fiction,Juvenile-SF,novel,juvenile,popular,third,newspaper,新字新仮名,complete,「東日本小学生新聞」1938年4〜12月,89716,6329,70.54,0.2312,0.0209,26.1,478.3,34.7,10.1,0,0,31,0,4,238,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.052,,「東日本小学生新聞」東京日日新聞社、1938（昭和13）年4月8日～12月4日,
JLIT039,海野十三_敗戦日記.txt,海野十三,うんの じゅうざ,M,1897,1949,海野十三敗戦日記,000160,1255,https://www.aozora.gr.jp/cards/000160/card1255.html,1944,1945,editor,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),915,日本文学／日記・書簡・紀行,Nonfiction,Diary,diary,general,documentary,first,book,新字新仮名,complete,【重大】青空文庫の奥付・入力者注・外字一覧が本文末尾に残存。外字欠落110件。要再構築,45791,7537,164.6,0.4223,0.0307,55.3,122.7,24.9,2.6,0,0,75,0,310,297,B_過渡的文体,core,aozora_card,rebuilt:tokens_surface,0.311,,,
JLIT040,海野十三_浮かぶ飛行島.txt,海野十三,うんの じゅうざ,M,1897,1949,浮かぶ飛行島,000160,3527,https://www.aozora.gr.jp/cards/000160/card3527.html,1938,1938,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),K913,児童書／日本の小説・物語,Fiction,Juvenile-SF,novel,juvenile,popular,third,magazine,新字新仮名,complete,「少年倶楽部」1938年1〜12月,66933,7017,104.84,0.3035,0.0391,19.3,230.7,38.2,26.3,0,0,52,0,1,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.077,,「少年倶楽部」大日本雄弁会講談社、1938（昭和13）年1月～12月,
