id,file_v1,author_ja,author_reading,author_sex,author_birth,author_death,title_aozora,aozora_person_id,aozora_work_id,aozora_card_url,year_first,year_first_end,year_source,period,ndc,ndc_label,genre_main,genre_sub,form,audience,register_level,narration,first_medium,kana_orthography,completeness,note,tokens,types,ttr_x1000,kanji_ratio,katakana_ratio,bungo_per10k,kogo_per10k,p1_per10k,p3_per10k,gaiji_lost,kana_odoriji,kanji_odoriji,ditto_mark,latin_chars,arabic_digits,style_class
JLIT045,漱石_草枕.txt,夏目漱石,なつめ そうせき,M,1867,1916,草枕,000148,776,https://www.aozora.gr.jp/cards/000148/card776.html,1906,1906,card,3_明治後期(1900-1911),913,日本文学／小説・物語,Fiction,Aesthetic,novella,general,canonical,first,magazine,新字新仮名,complete,「新小説」1906年9月。漢文脈が濃い,54857,7230,131.8,0.3006,0.0052,35.7,70.7,15.5,4.6,0,0,78,0,291,0,C_口語体
JLIT046,福翁_学問.txt,福沢諭吉,ふくざわ ゆきち,M,1835,1901,学問のすすめ,000296,47061,https://www.aozora.gr.jp/cards/000296/card47061.html,1872,1876,card,1_明治前期(〜1886),370,教育（総記）,Nonfiction,Enlightenment-Didactic,treatise,general,canonical,none,book,新字新仮名,complete,初編1872年、全17編1876年完結。文語標識407.3/万語 ＝ 本コーパス中最も文語的,54035,5348,98.97,0.3306,0.0053,407.3,0.2,15.9,3.0,0,0,63,0,5,0,A_文語体
JLIT047,福翁_自伝.txt,福沢諭吉,ふくざわ ゆきち,M,1835,1901,福翁自伝,000296,1864,https://www.aozora.gr.jp/cards/000296/card1864.html,1898,1899,card,2_明治中期(1887-1899),289,伝記／個人伝記,Nonfiction,Autobiography,autobiography,general,canonical,first,newspaper,新字新仮名,complete,「時事新報」1898年7月〜1899年2月。口述筆記による言文一致の早期例,142443,10429,73.22,0.4105,0.0216,27.2,25.5,94.7,4.6,7,4,505,0,9,0,C_口語体
JLIT048,綺堂_両国の秋.txt,岡本綺堂,おかもと きどう,M,1872,1939,両国の秋,000082,478,https://www.aozora.gr.jp/cards/000082/card478.html,1916,1916,editor,4_大正(1912-1925),913,日本文学／小説・物語,Fiction,Ghost-Story,short-story,general,popular,third,magazine,新字新仮名,complete,カードに初出欄なし。v1 の1916を暫定的に維持、要確認,36707,4368,119.0,0.2563,0.0002,5.7,34.6,61.0,67.0,0,0,20,0,0,0,C_口語体
JLIT049,綺堂_半七捕物帳.txt,岡本綺堂,おかもと きどう,M,1872,1939,半七捕物帳 69 白蝶怪,000082,964,https://www.aozora.gr.jp/cards/000082/card964.html,1936,1936,editor,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective-Edo,short-story,general,popular,first,magazine,新字新仮名,complete,【修正】シリーズ第69話。v1 の1917はシリーズ開始年。白蝶怪は後期作。要確認,49248,4459,90.54,0.2815,0.0003,8.3,57.1,39.8,37.4,0,0,132,0,0,0,C_口語体
JLIT050,綺堂_玉藻の前.txt,岡本綺堂,おかもと きどう,M,1872,1939,玉藻の前,000082,480,https://www.aozora.gr.jp/cards/000082/card480.html,1917,1918,editor,4_大正(1912-1925),913,日本文学／小説・物語,Fiction,Historical-Fantasy,novel,general,popular,third,newspaper,新字新仮名,complete,カードに初出欄なし,82938,7759,93.55,0.2825,0.0001,17.4,57.2,39.3,91.4,0,0,61,0,0,0,C_口語体
JLIT051,綺堂_青蛙堂鬼談.txt,岡本綺堂,おかもと きどう,M,1872,1939,青蛙堂鬼談,000082,1307,https://www.aozora.gr.jp/cards/000082/card1307.html,1926,1926,editor,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Ghost-Story,collection,general,popular,mixed,magazine,新字新仮名,complete,枠物語形式の怪談集。カードに初出欄なし,76021,7042,92.63,0.2653,0.0018,20.5,76.8,56.4,43.9,0,0,97,0,37,0,C_口語体
JLIT052,綺堂_飛騨の怪談.txt,岡本綺堂,おかもと きどう,M,1872,1939,飛騨の怪談,000082,49682,https://www.aozora.gr.jp/cards/000082/card49682.html,1912,1913,card,4_大正(1912-1925),913,日本文学／小説・物語,Fiction,Ghost-Story,novel,general,popular,first,newspaper,新字新仮名,complete,【修正】「やまと新聞」1912年11月13日〜1913年1月21日。v1 の1913は完結年,69118,6239,90.27,0.3656,0.0035,15.5,42.8,23.7,58.5,0,0,230,0,3,0,C_口語体
JLIT053,芥川_偸盗.txt,芥川竜之介,あくたがわ りゅうのすけ,M,1892,1927,偸盗,000879,31,https://www.aozora.gr.jp/cards/000879/card31.html,1917,1917,card,4_大正(1912-1925),913,日本文学／小説・物語,Fiction,Historical,novella,general,canonical,third,magazine,新字新仮名,complete,「中央公論」1917年4・7月,31541,3868,122.63,0.2274,0.0,8.6,44.4,73.2,32.3,0,0,49,0,0,0,C_口語体
JLIT054,芥川_文芸的な.txt,芥川竜之介,あくたがわ りゅうのすけ,M,1892,1927,文芸的な、余りに文芸的な,000879,26,https://www.aozora.gr.jp/cards/000879/card26.html,1927,1927,card,5_昭和戦前(1926-1944),914,日本文学／評論・随筆,Nonfiction,Criticism,essay,general,canonical,first,magazine,新字旧仮名,complete,【修正】NDC 914（随筆・評論）。「改造」1927年4〜8月,31315,3484,111.26,0.3514,0.0471,9.3,1.0,160.9,17.6,0,0,81,0,102,4,C_口語体
