# JLit コーパス取得マニフェスト
# set        : core=現行64点 / prio1-5=増補候補（優先度）
# author_ja  : 青空文庫の姓名を連結した表記（例 森鴎外）
# title      : 青空文庫の作品名。副題つきの場合は副題まで書いてよい
# aozora_work_id : 分かっていれば書く。空欄なら作者名＋作品名で解決する
# kana_orthography: 新字新仮名 / 新字旧仮名 / 旧字旧仮名。空欄なら新字新仮名を優先
set	id	author_ja	title	aozora_work_id	kana_orthography	note
prio2		与謝野晶子	「女らしさ」とは何か	3325	新字新仮名	女性作家／『人及び女として』は未公開のため代替
prio2		与謝野晶子	私の貞操観	3319	新字新仮名	女性作家／同上
prio2		伊藤野枝	ある男の堕落	3577	新字新仮名	女性作家／同上（小説）
prio2		伊藤野枝	新らしき女の道	56232	新字新仮名	女性作家／大正期の女性評論
prio2		樋口一葉	たけくらべ			女性作家
prio2		樋口一葉	にごりえ			女性作家
prio2		樋口一葉	十三夜			女性作家
prio2		水野仙子	四十余日	601	新字新仮名	女性作家／明治末〜大正の女性作家を補う
prio2		水野仙子	脱殻	4263	新字新仮名	女性作家／同上
prio2		田村俊子	木乃伊の口紅	5006	旧字旧仮名	女性作家／『あきらめ』は作業中。旧字旧仮名である点に注意
prio3		上田敏	海潮音			ジャンル
prio3		北村透谷	内部生命論			ジャンル
prio3		寺田寅彦	柿の種			ジャンル
prio3		岡本綺堂	修禅寺物語			ジャンル
prio3		岸田国士	紙風船（一幕）	52082	新字旧仮名	ジャンル（戯曲）／正式な作品名は「紙風船（一幕）」。NDC 912
prio3		柳田国男	遠野物語			ジャンル
prio3		森鴎外	即興詩人			ジャンル
prio3		永井荷風	日和下駄			ジャンル
prio3		石川啄木	時代閉塞の現状			ジャンル
prio3		菊池寛	父帰る			ジャンル
prio4		中島敦	山月記			作家平準化
prio4		中島敦	李陵			作家平準化
prio4		太宰治	津軽			作家平準化
prio4		室生犀星	幼年時代		新字新仮名	作家平準化／『あにいもうと』は作業中のため代替
prio4		室生犀星	性に眼覚める頃			作家平準化
prio4		徳冨蘆花	みみずのたはこと			作家平準化
prio4		石川啄木	雲は天才である			作家平準化
prio4		芥川竜之介	河童			作家平準化
prio4		芥川竜之介	羅生門			作家平準化
prio1		三遊亭円朝	怪談牡丹灯籠	2577	新字新仮名	明治前期／口演速記。言文一致の源流。2026-09 リバランス
prio1		三遊亭円朝	真景累ヶ淵	350	新字新仮名	明治中期／口演速記の最長篇。2026-09 リバランス
prio1		泉鏡花	婦系図	1087	新字新仮名	明治後期／反自然主義・雅俗折衷体。2026-09 リバランス
prio1		田山花袋	田舎教師	1668	新字新仮名	明治後期／自然主義。2026-09 リバランス
prio1		長塚節	土	1745	旧字旧仮名	明治後期／常陸方言。**旧字旧仮名しか無い**。採否は未知語率で決める：4%超なら見送り，2.95〜4%は unknown_words.csv を見て判断（docs/encoding_guidelines.md 参照）。2026-09 リバランス
prio1		徳田秋声	あらくれ	199	新字新仮名	大正／自然主義。女性主人公の長篇。2026-09 リバランス
prio1		有島武郎	或る女	201	新字新仮名	大正／白樺派。女性主人公の長篇。2026-09 リバランス
prio1		夏目漱石	吾輩は猫である		新字新仮名	明治後期／写生文・戯作的語彙。漱石増補（4→9点）。2026-09 リバランス
prio1		夏目漱石	それから		新字新仮名	明治後期／前期三部作。『三四郎』は収録済。2026-09 リバランス
prio1		夏目漱石	門		新字新仮名	明治後期／前期三部作の完結。2026-09 リバランス
prio1		夏目漱石	行人		新字新仮名	大正／後期三部作。大正期の鴎外32%を薄める。2026-09 リバランス
prio1		夏目漱石	道草		新字新仮名	大正／晩年の自伝的長篇。2026-09 リバランス
prio2		三宅花圃	藪の鶯		新字新仮名	明治中期／女性作家。**所蔵は要確認**。解決できなければ見送り
prio5		織田作之助	世相		新字新仮名	昭和戦後／戦後の男性作家。宮本百合子50%の偏重を薄める。2026-09 リバランス
prio5		織田作之助	土曜夫人		新字新仮名	昭和戦後／同上。未完（連載中に作者没）。completeness に注意
prio5		横光利一	微笑		新字新仮名	昭和戦後／同上。**初出年は要確認**（作者は1947年没）
